feature,importance
NC_NB_log1p,0.3013056
NC_A_x_NC_NB,0.12998009
NB_A_x_NC_NB,0.10138006
NC_NB,0.047085162
NC_A_nbr_max,0.031827576
NC_A_div_NL_A,0.024237538
dist_to_center,0.02403085
NC_A_sq,0.02358358
NL_A_nbr_max,0.022574857
NC_NL_nbr_max,0.020391775
NB_NL_nbr_mean,0.019682443
NC_NL_nbr_mean,0.018861003
NC_NB_nbr_mean,0.018426996
NC_A_nbr_mean,0.018097438
NB_NL_nbr_max,0.015724182
NC_NB_div_NC_NL,0.015492047
NC_NB_x_NC_NL,0.015384243
NL_A_nbr_mean,0.015172361
NB_A_div_NL_A,0.014660773
y_norm,0.01425717
NC_NL,0.011834143
nonzero_neighbor_count,0.011211524
NC_NB_nbr_max,0.010671618
x_norm,0.010651027
NB_A,0.010526617
NB_A_nbr_mean,0.009729526
NB_A_nbr_max,0.009040581
NL_A,0.008659582
NC_A,0.008193238
NC_A_x_NC_NL,0.008069978
NB_NL,0.0049778796
NC_A_sqrt,0.0042786035
