baseline_target_id,centroid_x,centroid_y,baseline_score,baseline_evidence_status,scenario_count,matched_scenario_count,candidate_occurrence_frequency,centroid_match_occurrence_frequency,geometry_occurrence_frequency_25,geometry_occurrence_frequency_50,internally_stable_occurrence_frequency,internally_stable_geometry_occurrence_frequency_25,geometry_coverage_mean,geometry_coverage_q05,score_q05,score_median,score_q95,rank_q05,rank_median,rank_q95,rank_percentile_q05,rank_percentile_median,rank_percentile_q95,centroid_shift_q50_m,centroid_shift_q95_m,robustness_tier,decision_tier
T001,15439612.33,5112857.6325,0.4789502917909561,internal_partial,15,13,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.0,0.0,1.0,0.0,0.4789373959274819,0.4789502917909561,0.5014403003376269,24.2,35.0,36.599999999999994,0.5726923076923076,0.575,0.7124999999999999,0.0,670.8203932516029,conditional_occurrence,fragile_unstable_candidate
T002,15441612.33,5091357.6325,0.5332391142534804,internal_supported,15,11,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,1.0,0.0,0.5176658529728084,0.5332391142534804,0.5546703548242843,3.5,6.0,9.5,0.910793439716312,0.9375,0.9640086206896552,0.0,637.3774391990981,conditional_occurrence,conditional_internal_candidate
T003,15422212.330000002,5090957.6325,0.525313392090076,internal_supported,15,14,0.8,0.9333333333333333,0.8,0.8,0.8,0.7333333333333333,1.0,0.0,0.5203892080809617,0.525313392090076,0.5702721647270631,3.6,9.0,24.999999999999986,0.7053353658536585,0.9,0.9674999999999999,0.0,2010.4869256479037,robust_occurrence,recurring_but_grade_sensitive
T004,15396038.105,5075384.432499999,0.4432701702505778,internal_partial,15,14,0.7333333333333333,0.9333333333333333,0.7333333333333333,0.7333333333333333,0.0,0.0,1.0,0.0,0.4421555941987505,0.44327867955871897,0.5202411408036691,49.0,75.0,79.7,0.03884457025218735,0.07499999999999996,0.3112480539699013,9.313225746154785e-10,6026.87425990838,conditional_occurrence,fragile_unstable_candidate
T005,15402938.105000002,5063384.4325,0.4503711593573635,internal_partial,15,11,0.8666666666666667,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.0,1.0,0.0,0.4500767778161947,0.4503711593573635,0.47659504983765055,56.0,64.0,68.0,0.21250000000000002,0.21250000000000002,0.2641314703080343,0.0,2730.04120848045,robust_occurrence,recurring_unstable_candidate
T006,15384938.105,5061884.4325,0.4386850326879995,internal_partial,15,11,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.4353385423739259,0.4386850326879995,0.46148594360342216,77.0,81.0,92.5,0.0,0.0,0.08124999999999999,0.0,3796.1646096066224,conditional_occurrence,fragile_unstable_candidate
T007,15444938.105,5061584.432499999,0.4632120997826603,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.45923737590102653,0.4632120997826603,0.5397582781280965,26.5,47.0,56.8,0.31292766934557975,0.42500000000000004,0.5944817073170727,0.0,3221.545459859911,robust_occurrence,recurring_unstable_candidate
T008,15417938.105,5060384.4325,0.4574681742039177,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.4568068985937336,0.4574681742039177,0.5204378695555021,49.1,57.0,63.3,0.17614236509758893,0.30000000000000004,0.3824999999999999,0.0,3479.704184130529,robust_occurrence,recurring_unstable_candidate
T009,15429938.105,5060384.4325,0.4558944792691649,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4544341412366704,0.4558944792691649,0.5310647295698803,33.7,59.0,60.8,0.14723306544202067,0.275,0.5587144308943085,0.0,2741.3008984248268,robust_occurrence,recurring_unstable_candidate
T010,15407813.105,5057009.4325,0.4814907554033736,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.46746088492887533,0.4814907554033736,0.559898290923425,19.8,33.0,38.49999999999999,0.5191963260619977,0.6,0.765182926829268,0.0,3356.7635681105435,robust_occurrence,recurring_unstable_candidate
T011,15375638.105,5054384.4325,0.4704675423276167,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4686600566986562,0.4704675423276167,0.5389353027204548,36.95,41.0,47.0,0.42134328358208956,0.5,0.5815625,0.0,5653.236537179798,robust_occurrence,recurring_unstable_candidate
T012,15396938.105,5054384.4325,0.4612480862652602,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.45992734089901977,0.4612480862652602,0.5228930834669425,40.25,52.0,64.6,0.26977134146341464,0.36250000000000004,0.44312499999999994,0.0,3806.876249239709,robust_occurrence,recurring_unstable_candidate
T013,15383165.37772727,5052748.068863636,0.4690232011740179,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.4552374362248006,0.4690232011740179,0.5538648178068573,23.200000000000003,42.0,58.15,0.197910447761194,0.48750000000000004,0.6985518292682925,0.0,4712.258825643515,robust_occurrence,recurring_unstable_candidate
T014,15485771.438333333,5052717.765833333,0.4458121203915906,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.7333333333333333,0.0,0.0,1.0,0.0,0.44449659599253794,0.4458121203915906,0.523153692849686,39.400000000000006,71.0,80.5,0.030493685419058548,0.125,0.39832317073170653,0.0,2153.3113156296063,robust_occurrence,recurring_unstable_candidate
T015,15450509.533571424,5050098.718214286,0.473695865723631,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4725695607976596,0.473695865723631,0.5345746137443798,26.0,40.0,53.99999999999998,0.36718574108818014,0.5125,0.6506249999999999,0.0,3883.1373727880646,robust_occurrence,recurring_unstable_candidate
T016,15370438.105,5048384.4325,0.4427419402137525,internal_partial,15,14,0.8,0.9333333333333333,0.8,0.6666666666666666,0.0,0.0,1.0,0.0,0.4374563688751687,0.4427419402137525,0.5208137238720488,48.25,76.0,90.4,0.013829787234042573,0.0625,0.2718495934959348,0.0,6537.880476655081,robust_occurrence,recurring_unstable_candidate
T017,15351938.105,5046884.4325,0.44180546879842,internal_partial,15,12,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.438395450259958,0.44180546879842,0.4633161884668455,69.45,78.0,87.25,0.006874999999999976,0.03749999999999998,0.08550531914893614,0.0,734.3781209218432,conditional_occurrence,fragile_unstable_candidate
T018,15408938.104999997,5046384.432499999,0.5037460287574079,internal_supported,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8,0.6666666666666666,1.0,0.0,0.489731690606888,0.5037460287574079,0.5530600173911578,13.8,18.0,37.9,0.5948170731707317,0.7875,0.8257758620689655,0.0,4218.959923454553,robust_occurrence,recurring_but_grade_sensitive
