target_id,target_level,centroid_x,centroid_y,representative_x,representative_y,area,diameter_m,total_score,peak_score,network_criticality,removal_impact,period_persistence,parameter_stability,stable_cell_fraction,supporting_periods,cell_count,evidence_status,recommendation_reason,limitations,geometry_wkt
T001,不稳定候选,15439612.33,5112857.6325,15442612.33,5111357.6325,54000000.0,6708.203932499369,0.4789502917909561,0.5933601657987692,0.7612865479741605,0.0,0.5,0.5833333333333334,0.16666666666666666,印支燕山期|海西期,6,internal_partial,"由6个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.58；最高分代表点(15442612, 5111358)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15443475.39 5109890.548, 15440475.39 5109890.548, 15437475.39 5109890.548, 15434475.39 5109890.548, 15434475.39 5112890.548, 15434475.39 5115890.548, 15437475.39 5115890.548, 15440475.39 5115890.548, 15443475.39 5115890.548, 15443475.39 5112890.548, 15443475.39 5109890.548))"
T002,一级,15441612.33,5091357.6325,15442612.33,5090357.6325,27000000.0,4242.640687119285,0.5332391142534804,0.5811893338028123,0.809254612152801,0.0,0.5,0.8333333333333334,0.6666666666666666,印支燕山期|海西期,3,internal_supported,"由3个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.83；最高分代表点(15442612, 5090358)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15440475.39 5091890.548, 15440475.39 5094890.548, 15443475.39 5094890.548, 15443475.39 5091890.548, 15443475.39 5088890.548, 15440475.39 5088890.548, 15437475.39 5088890.548, 15437475.39 5091890.548, 15440475.39 5091890.548))"
T003,一级,15422212.330000002,5090957.6325,15424612.33,5090357.6325,45000000.0,9486.832980505138,0.525313392090076,0.6003808103025106,0.8008954059716459,0.0,0.5,0.8,0.6,印支燕山期|海西期,5,internal_supported,"由5个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.80；最高分代表点(15424612, 5090358)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15422475.39 5091890.548, 15425475.39 5091890.548, 15428475.39 5091890.548, 15428475.39 5088890.548, 15425475.39 5088890.548, 15422475.39 5088890.548, 15419475.39 5088890.548, 15416475.39 5088890.548, 15416475.39 5091890.548, 15416475.39 5094890.548, 15419475.39 5094890.548, 15419475.39 5091890.548, 15422475.39 5091890.548))"
T004,不稳定候选,15396038.104999999,5075384.432499999,15401438.105,5072384.4325,90000000.0,13416.407864998739,0.44327017025057786,0.45396466384772716,0.6950576292873653,0.0,0.5,0.5,0.0,喜山期|海西期,10,internal_partial,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15401438, 5072384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15403126.94 5070944.148, 15400126.94 5070944.148, 15397126.94 5070944.148, 15394126.94 5070944.148, 15394126.94 5073944.148, 15391126.94 5073944.148, 15391126.94 5076944.148, 15388126.94 5076944.148, 15388126.94 5079944.148, 15391126.94 5079944.148, 15394126.94 5079944.148, 15397126.94 5079944.148, 15397126.94 5076944.148, 15400126.94 5076944.148, 15403126.94 5076944.148, 15403126.94 5073944.148, 15403126.94 5070944.148))"
T005,不稳定候选,15402938.105000002,5063384.4325,15404438.105,5060384.4325,54000000.0,6708.203932499369,0.45037115935736355,0.4809470980521601,0.7153461695924671,0.0,0.5,0.5,0.0,喜山期|海西期,6,internal_partial,"由6个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15404438, 5060384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15400126.94 5061944.148, 15400126.94 5064944.148, 15400126.94 5067944.148, 15403126.94 5067944.148, 15406126.94 5067944.148, 15406126.94 5064944.148, 15406126.94 5061944.148, 15406126.94 5058944.148, 15403126.94 5058944.148, 15400126.94 5058944.148, 15400126.94 5061944.148))"
T006,不稳定候选,15384938.105,5061884.4325,15383438.105,5060384.4325,36000000.0,4242.640687119285,0.4386850326879995,0.44359780390125075,0.6819572362514272,0.0,0.5,0.5,0.0,喜山期|海西期,4,internal_partial,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15383438, 5060384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15388126.94 5058944.148, 15385126.94 5058944.148, 15382126.94 5058944.148, 15382126.94 5061944.148, 15382126.94 5064944.148, 15385126.94 5064944.148, 15388126.94 5064944.148, 15388126.94 5061944.148, 15388126.94 5058944.148))"
T007,不稳定候选,15444938.104999999,5061584.432499999,15446438.105,5057384.4325,90000000.0,12369.316876852981,0.4632120997826603,0.4817747767933309,0.759177427950458,0.0,0.5,0.4833333333333333,0.0,喜山期|海西期,10,internal_partial,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.48；最高分代表点(15446438, 5057384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15445126.94 5055944.148, 15445126.94 5058944.148, 15442126.94 5058944.148, 15439126.94 5058944.148, 15436126.94 5058944.148, 15436126.94 5061944.148, 15439126.94 5061944.148, 15442126.94 5061944.148, 15442126.94 5064944.148, 15445126.94 5064944.148, 15445126.94 5067944.148, 15448126.94 5067944.148, 15448126.94 5064944.148, 15451126.94 5064944.148, 15451126.94 5061944.148, 15451126.94 5058944.148, 15448126.94 5058944.148, 15448126.94 5055944.148, 15445126.94 5055944.148))"
T008,不稳定候选,15417938.105,5060384.4325,15416438.105,5060384.4325,36000000.0,9000.0,0.4574681742039177,0.4576861593411146,0.7356233548683362,0.0,0.5,0.5,0.0,喜山期|海西期,4,internal_partial,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15416438, 5060384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15418126.94 5061944.148, 15421126.94 5061944.148, 15424126.94 5061944.148, 15424126.94 5058944.148, 15421126.94 5058944.148, 15418126.94 5058944.148, 15415126.94 5058944.148, 15412126.94 5058944.148, 15412126.94 5061944.148, 15415126.94 5061944.148, 15418126.94 5061944.148))"
T009,不稳定候选,15429938.105,5060384.4325,15425438.105,5060384.4325,36000000.0,9000.0,0.4558944792691649,0.4569798349722598,0.7311270836261852,0.0,0.5,0.5,0.0,喜山期|海西期,4,internal_partial,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15425438, 5060384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15430126.94 5061944.148, 15433126.94 5061944.148, 15436126.94 5061944.148, 15436126.94 5058944.148, 15433126.94 5058944.148, 15430126.94 5058944.148, 15427126.94 5058944.148, 15424126.94 5058944.148, 15424126.94 5061944.148, 15427126.94 5061944.148, 15430126.94 5061944.148))"
T010,不稳定候选,15407813.105,5057009.4325,15404438.105,5054384.4325,72000000.0,8485.28137423857,0.48149075540337366,0.49053485512893097,0.8042593011524961,0.0,0.5,0.5,0.0,喜山期|海西期,8,internal_partial,"由8个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.50；最高分代表点(15404438, 5054384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15412126.94 5052944.148, 15409126.94 5052944.148, 15406126.94 5052944.148, 15403126.94 5052944.148, 15403126.94 5055944.148, 15403126.94 5058944.148, 15406126.94 5058944.148, 15406126.94 5061944.148, 15409126.94 5061944.148, 15412126.94 5061944.148, 15412126.94 5058944.148, 15412126.94 5055944.148, 15412126.94 5052944.148))"
