target_id,target_level,centroid_x,centroid_y,representative_x,representative_y,area,diameter_m,total_score,peak_score,network_criticality,removal_impact,period_persistence,parameter_stability,stable_cell_fraction,supporting_periods,cell_count,evidence_status,recommendation_reason,limitations,geometry_wkt
T002,一级,15441612.33,5091357.6325,15442612.33,5090357.6325,27000000.0,4242.640687119285,0.5332391142534804,0.5811893338028123,0.809254612152801,0.0,0.5,0.8333333333333334,0.6666666666666666,印支燕山期|海西期,3,internal_supported,"由3个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.83；最高分代表点(15442612, 5090358)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15440475.39 5091890.548, 15440475.39 5094890.548, 15443475.39 5094890.548, 15443475.39 5091890.548, 15443475.39 5088890.548, 15440475.39 5088890.548, 15437475.39 5088890.548, 15437475.39 5091890.548, 15440475.39 5091890.548))"
T003,一级,15422212.330000002,5090957.6325,15424612.33,5090357.6325,45000000.0,9486.832980505138,0.525313392090076,0.6003808103025106,0.8008954059716459,0.0,0.5,0.8,0.6,印支燕山期|海西期,5,internal_supported,"由5个高值网格组成；支持时期为印支燕山期|海西期；参数稳定率0.80；最高分代表点(15424612, 5090358)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15422475.39 5091890.548, 15425475.39 5091890.548, 15428475.39 5091890.548, 15428475.39 5088890.548, 15425475.39 5088890.548, 15422475.39 5088890.548, 15419475.39 5088890.548, 15416475.39 5088890.548, 15416475.39 5091890.548, 15416475.39 5094890.548, 15419475.39 5094890.548, 15419475.39 5091890.548, 15422475.39 5091890.548))"
T018,二级,15408938.104999997,5046384.432499999,15407438.105,5042384.4325,108000000.0,10816.653826391968,0.5037460287574079,0.5403749179144025,0.730941034544975,0.0,0.5,0.8194444444444445,0.75,喜山期|海西期,12,internal_supported,"由12个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.82；最高分代表点(15407438, 5042384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15406126.94 5043944.148, 15403126.94 5043944.148, 15403126.94 5046944.148, 15403126.94 5049944.148, 15406126.94 5049944.148, 15406126.94 5052944.148, 15409126.94 5052944.148, 15412126.94 5052944.148, 15412126.94 5049944.148, 15412126.94 5046944.148, 15415126.94 5046944.148, 15415126.94 5043944.148, 15415126.94 5040944.148, 15412126.94 5040944.148, 15409126.94 5040944.148, 15406126.94 5040944.148, 15406126.94 5043944.148))"
T032,一级,15410938.105000002,5030384.4325,15410438.105,5027384.4325,54000000.0,6708.203932499369,0.5376241091289862,0.5483050568906289,0.7741641213209131,0.0,0.5,0.9444444444444443,0.8333333333333334,喜山期|海西期,6,internal_supported,"由6个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.94；最高分代表点(15410438, 5027384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15415126.94 5028944.148, 15415126.94 5025944.148, 15412126.94 5025944.148, 15409126.94 5025944.148, 15409126.94 5028944.148, 15406126.94 5028944.148, 15406126.94 5031944.148, 15409126.94 5031944.148, 15409126.94 5034944.148, 15412126.94 5034944.148, 15415126.94 5034944.148, 15415126.94 5031944.148, 15412126.94 5031944.148, 15412126.94 5028944.148, 15415126.94 5028944.148))"
T039,二级,15447188.105,5025134.4325,15446438.105,5021384.4325,36000000.0,6708.203932499369,0.5182661236830615,0.5470891855228512,0.7486174962373187,0.0,0.5,0.875,0.75,喜山期|海西期,4,internal_supported,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.88；最高分代表点(15446438, 5021384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15445126.94 5019944.148, 15445126.94 5022944.148, 15445126.94 5025944.148, 15445126.94 5028944.148, 15448126.94 5028944.148, 15451126.94 5028944.148, 15451126.94 5025944.148, 15448126.94 5025944.148, 15448126.94 5022944.148, 15448126.94 5019944.148, 15445126.94 5019944.148))"
T042,一级,15406538.104999999,5023184.432499999,15407438.105,5021384.4325,90000000.0,10816.653826391968,0.5304148449409158,0.5528970853780741,0.7726138426883308,0.0,0.5,0.9,0.8,喜山期|海西期,10,internal_supported,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.90；最高分代表点(15407438, 5021384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15412126.94 5016944.148, 15409126.94 5016944.148, 15406126.94 5016944.148, 15406126.94 5019944.148, 15403126.94 5019944.148, 15403126.94 5022944.148, 15400126.94 5022944.148, 15400126.94 5025944.148, 15403126.94 5025944.148, 15403126.94 5028944.148, 15406126.94 5028944.148, 15409126.94 5028944.148, 15409126.94 5025944.148, 15412126.94 5025944.148, 15412126.94 5022944.148, 15409126.94 5022944.148, 15409126.94 5019944.148, 15412126.94 5019944.148, 15412126.94 5016944.148))"
T045,二级,15415538.104999999,5020184.432499999,15410438.105,5021384.4325,90000000.0,10816.653826391968,0.514262097832801,0.5520573418820739,0.7693202795222884,0.0,0.5,0.8,0.6,喜山期|海西期,10,internal_supported,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.80；最高分代表点(15410438, 5021384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15421126.94 5013944.148, 15418126.94 5013944.148, 15415126.94 5013944.148, 15415126.94 5016944.148, 15412126.94 5016944.148, 15412126.94 5019944.148, 15409126.94 5019944.148, 15409126.94 5022944.148, 15412126.94 5022944.148, 15412126.94 5025944.148, 15415126.94 5025944.148, 15418126.94 5025944.148, 15418126.94 5022944.148, 15421126.94 5022944.148, 15421126.94 5019944.148, 15418126.94 5019944.148, 15418126.94 5016944.148, 15421126.94 5016944.148, 15421126.94 5013944.148))"
T047,二级,15400938.105000002,5018384.4325,15401438.105,5021384.4325,54000000.0,6708.203932499369,0.5106483166330199,0.5507276352871621,0.7566142379991048,0.0,0.5,0.8055555555555555,0.6666666666666666,喜山期|海西期,6,internal_supported,"由6个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.81；最高分代表点(15401438, 5021384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15400126.94 5019944.148, 15397126.94 5019944.148, 15397126.94 5022944.148, 15400126.94 5022944.148, 15403126.94 5022944.148, 15403126.94 5019944.148, 15406126.94 5019944.148, 15406126.94 5016944.148, 15403126.94 5016944.148, 15403126.94 5013944.148, 15400126.94 5013944.148, 15397126.94 5013944.148, 15397126.94 5016944.148, 15400126.94 5016944.148, 15400126.94 5019944.148))"
T049,一级,15385538.104999999,5016584.432499999,15386438.105,5015384.4325,90000000.0,10816.653826391968,0.5487129577207815,0.5754512305353547,0.8034655934879472,0.0,0.5,0.95,0.9,喜山期|海西期,10,internal_supported,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.95；最高分代表点(15386438, 5015384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15385126.94 5010944.148, 15382126.94 5010944.148, 15382126.94 5013944.148, 15379126.94 5013944.148, 15379126.94 5016944.148, 15382126.94 5016944.148, 15382126.94 5019944.148, 15385126.94 5019944.148, 15385126.94 5022944.148, 15388126.94 5022944.148, 15391126.94 5022944.148, 15391126.94 5019944.148, 15388126.94 5019944.148, 15388126.94 5016944.148, 15391126.94 5016944.148, 15391126.94 5013944.148, 15388126.94 5013944.148, 15388126.94 5010944.148, 15385126.94 5010944.148))"
T051,二级,15462038.105,5014184.4325,15464438.105,5015384.4325,45000000.0,6708.203932499369,0.5226166102948395,0.5455239481031002,0.7503331722709704,0.0,0.5,0.9,0.8,喜山期|海西期,5,internal_supported,"由5个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.90；最高分代表点(15464438, 5015384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15466126.94 5010944.148, 15463126.94 5010944.148, 15460126.94 5010944.148, 15460126.94 5013944.148, 15457126.94 5013944.148, 15457126.94 5016944.148, 15460126.94 5016944.148, 15463126.94 5016944.148, 15466126.94 5016944.148, 15466126.94 5013944.148, 15466126.94 5010944.148))"
T052,二级,15446438.105,5013884.4325,15446438.105,5015384.4325,36000000.0,9000.0,0.5220964335157148,0.5459253022804301,0.759561238616328,0.0,0.5,0.875,0.75,喜山期|海西期,4,internal_supported,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.88；最高分代表点(15446438, 5015384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15445126.94 5007944.148, 15445126.94 5010944.148, 15445126.94 5013944.148, 15445126.94 5016944.148, 15445126.94 5019944.148, 15448126.94 5019944.148, 15448126.94 5016944.148, 15448126.94 5013944.148, 15448126.94 5010944.148, 15448126.94 5007944.148, 15445126.94 5007944.148))"
T057,一级,15405509.533571424,5008098.718214286,15410438.105,5003384.4325,126000000.0,13416.407864998739,0.5320728798239,0.5477476408442612,0.7702082280682854,0.0,0.5,0.9166666666666666,0.8571428571428571,喜山期|海西期,14,internal_supported,"由14个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.92；最高分代表点(15410438, 5003384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15400126.94 5004944.148, 15400126.94 5007944.148, 15403126.94 5007944.148, 15403126.94 5010944.148, 15400126.94 5010944.148, 15400126.94 5013944.148, 15403126.94 5013944.148, 15403126.94 5016944.148, 15406126.94 5016944.148, 15409126.94 5016944.148, 15409126.94 5013944.148, 15406126.94 5013944.148, 15406126.94 5010944.148, 15409126.94 5010944.148, 15409126.94 5007944.148, 15412126.94 5007944.148, 15412126.94 5004944.148, 15412126.94 5001944.148, 15409126.94 5001944.148, 15406126.94 5001944.148, 15403126.94 5001944.148, 15400126.94 5001944.148, 15400126.94 5004944.148))"
T060,二级,15387938.104999999,5006384.432499999,15386438.105,5009384.4325,90000000.0,10816.653826391968,0.501786179814638,0.538016587383992,0.7336747994703943,0.0,0.5,0.8,0.6,喜山期|海西期,10,internal_supported,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.80；最高分代表点(15386438, 5009384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15394126.94 5001944.148, 15391126.94 5001944.148, 15388126.94 5001944.148, 15385126.94 5001944.148, 15385126.94 5004944.148, 15382126.94 5004944.148, 15382126.94 5007944.148, 15382126.94 5010944.148, 15385126.94 5010944.148, 15388126.94 5010944.148, 15391126.94 5010944.148, 15391126.94 5007944.148, 15394126.94 5007944.148, 15394126.94 5004944.148, 15394126.94 5001944.148))"
T064,一级,15446438.105,5001884.4325,15446438.105,5003384.4325,36000000.0,9000.0,0.5472932900986838,0.5480646026708894,0.777980828853382,0.0,0.5,1.0,1.0,喜山期|海西期,4,internal_supported,"由4个高值网格组成；支持时期为喜山期|海西期；参数稳定率1.00；最高分代表点(15446438, 5003384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15445126.94 4995944.148, 15445126.94 4998944.148, 15445126.94 5001944.148, 15445126.94 5004944.148, 15445126.94 5007944.148, 15448126.94 5007944.148, 15448126.94 5004944.148, 15448126.94 5001944.148, 15448126.94 4998944.148, 15448126.94 4995944.148, 15445126.94 4995944.148))"
T065,一级,15414938.105,5000384.4325,15416438.105,5003384.4325,72000000.0,9000.0,0.5461567414472552,0.5473163441390361,0.7747335469921579,0.0,0.5,1.0,1.0,喜山期|海西期,8,internal_supported,"由8个高值网格组成；支持时期为喜山期|海西期；参数稳定率1.00；最高分代表点(15416438, 5003384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15418126.94 4995944.148, 15415126.94 4995944.148, 15412126.94 4995944.148, 15412126.94 4998944.148, 15409126.94 4998944.148, 15409126.94 5001944.148, 15412126.94 5001944.148, 15412126.94 5004944.148, 15415126.94 5004944.148, 15418126.94 5004944.148, 15418126.94 5001944.148, 15421126.94 5001944.148, 15421126.94 4998944.148, 15418126.94 4998944.148, 15418126.94 4995944.148))"
T071,二级,15421538.104999999,4993184.432499999,15419438.105,4997384.4325,90000000.0,10816.653826391968,0.519928266066667,0.5457878737549625,0.7640807601904774,0.0,0.5,0.85,0.7,喜山期|海西期,10,internal_supported,"由10个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.85；最高分代表点(15419438, 4997384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15427126.94 4986944.148, 15424126.94 4986944.148, 15421126.94 4986944.148, 15421126.94 4989944.148, 15418126.94 4989944.148, 15418126.94 4992944.148, 15415126.94 4992944.148, 15415126.94 4995944.148, 15418126.94 4995944.148, 15418126.94 4998944.148, 15421126.94 4998944.148, 15424126.94 4998944.148, 15424126.94 4995944.148, 15427126.94 4995944.148, 15427126.94 4992944.148, 15424126.94 4992944.148, 15424126.94 4989944.148, 15427126.94 4989944.148, 15427126.94 4986944.148))"
T075,二级,15438295.247857144,4988384.4325,15440438.105,4985384.4325,63000000.0,6708.203932499369,0.5147922546711318,0.5712996387189145,0.7463452174277236,0.0,0.5,0.8571428571428571,0.7142857142857143,喜山期|海西期,7,internal_supported,"由7个高值网格组成；支持时期为喜山期|海西期；参数稳定率0.86；最高分代表点(15440438, 4985384)。",['尚未接入井位、储层或专家盲评外部证据'],"POLYGON ((15442126.94 4983944.148, 15439126.94 4983944.148, 15436126.94 4983944.148, 15436126.94 4986944.148, 15433126.94 4986944.148, 15433126.94 4989944.148, 15436126.94 4989944.148, 15436126.94 4992944.148, 15439126.94 4992944.148, 15442126.94 4992944.148, 15442126.94 4989944.148, 15442126.94 4986944.148, 15442126.94 4983944.148))"
