vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(NB/A)Number of branch faults per unit area ,6(N_LA)The number of fault lines per unit area 
15334126.94,5088944.148,15337126.94,5088944.148,15337126.94,5085944.148,15334126.94,5085944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5085944.148,15337126.94,5085944.148,15337126.94,5082944.148,15334126.94,5082944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5082944.148,15337126.94,5082944.148,15337126.94,5079944.148,15334126.94,5079944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5079944.148,15337126.94,5079944.148,15337126.94,5076944.148,15334126.94,5076944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5076944.148,15337126.94,5076944.148,15337126.94,5073944.148,15334126.94,5073944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5073944.148,15337126.94,5073944.148,15337126.94,5070944.148,15334126.94,5070944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5070944.148,15337126.94,5070944.148,15337126.94,5067944.148,15334126.94,5067944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5067944.148,15337126.94,5067944.148,15337126.94,5064944.148,15334126.94,5064944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5064944.148,15337126.94,5064944.148,15337126.94,5061944.148,15334126.94,5061944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5061944.148,15337126.94,5061944.148,15337126.94,5058944.148,15334126.94,5058944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5058944.148,15337126.94,5058944.148,15337126.94,5055944.148,15334126.94,5055944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5055944.148,15337126.94,5055944.148,15337126.94,5052944.148,15334126.94,5052944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5052944.148,15337126.94,5052944.148,15337126.94,5049944.148,15334126.94,5049944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5049944.148,15337126.94,5049944.148,15337126.94,5046944.148,15334126.94,5046944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5046944.148,15337126.94,5046944.148,15337126.94,5043944.148,15334126.94,5043944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5043944.148,15337126.94,5043944.148,15337126.94,5040944.148,15334126.94,5040944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5040944.148,15337126.94,5040944.148,15337126.94,5037944.148,15334126.94,5037944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5037944.148,15337126.94,5037944.148,15337126.94,5034944.148,15334126.94,5034944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5034944.148,15337126.94,5034944.148,15337126.94,5031944.148,15334126.94,5031944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5031944.148,15337126.94,5031944.148,15337126.94,5028944.148,15334126.94,5028944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5028944.148,15337126.94,5028944.148,15337126.94,5025944.148,15334126.94,5025944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5025944.148,15337126.94,5025944.148,15337126.94,5022944.148,15334126.94,5022944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5022944.148,15337126.94,5022944.148,15337126.94,5019944.148,15334126.94,5019944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5019944.148,15337126.94,5019944.148,15337126.94,5016944.148,15334126.94,5016944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5016944.148,15337126.94,5016944.148,15337126.94,5013944.148,15334126.94,5013944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5013944.148,15337126.94,5013944.148,15337126.94,5010944.148,15334126.94,5010944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5010944.148,15337126.94,5010944.148,15337126.94,5007944.148,15334126.94,5007944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5007944.148,15337126.94,5007944.148,15337126.94,5004944.148,15334126.94,5004944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5004944.148,15337126.94,5004944.148,15337126.94,5001944.148,15334126.94,5001944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,5001944.148,15337126.94,5001944.148,15337126.94,4998944.148,15334126.94,4998944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4998944.148,15337126.94,4998944.148,15337126.94,4995944.148,15334126.94,4995944.148,63515106.93,7.87E-09,7.87E-09,2316.616454,1158.308227,1158.308227,0,0,0,0.042247522,0.021123761,,1.82E-05,,1.82E-05,0.5,1,0.5,1,1158.308227,1158.308227,1158.308227,0,0,1,0,7.87E-09,31757553.47
15334126.94,4995944.148,15337126.94,4995944.148,15337126.94,4992944.148,15334126.94,4992944.148,63515106.93,7.87E-09,7.87E-09,188.4420565,94.22102825,94.22102825,0,0,0,0.000279543,0.000139772,,1.48E-06,,1.48E-06,0.5,1,0.5,1,94.22102825,94.22102825,94.22102825,0,0,1,0,7.87E-09,31757553.47
15334126.94,4992944.148,15337126.94,4992944.148,15337126.94,4989944.148,15334126.94,4989944.148,63515106.93,1.57E-08,1.57E-08,8407.457724,1383.549831,5382.192426,0,0,0,1.112890284,0.370963428,,0.000132369,,0.000132369,1,3,1,3,2802.485908,1383.549831,5382.192426,0,0,1,0,1.57E-08,63515106.93
15334126.94,4989944.148,15337126.94,4989944.148,15337126.94,4986944.148,15334126.94,4986944.148,63515106.93,2.36E-08,2.36E-08,11647.2175,3240.859764,6125.60721,0,0,0,3.203749834,1.201406188,,0.000275066,,0.000275066,1.5,4,1.5,4,4367.706563,3240.859764,6125.60721,0,0,1,0,2.36E-08,95272660.4
15334126.94,4986944.148,15337126.94,4986944.148,15337126.94,4983944.148,15334126.94,4983944.148,63515106.93,2.36E-08,2.36E-08,10214.03478,2749.224762,5782.421397,0,0,0,2.463819511,0.923932317,,0.000241219,,0.000241219,1.5,4,1.5,4,3830.263042,2749.224762,5782.421397,0,0,1,0,2.36E-08,95272660.4
15334126.94,4983944.148,15337126.94,4983944.148,15337126.94,4980944.148,15334126.94,4980944.148,63515106.93,7.87E-09,7.87E-09,9975.172609,4987.586305,4987.586305,0,0,0,0.78331025,0.391655125,,7.85E-05,,7.85E-05,0.5,1,0.5,1,4987.586305,4987.586305,4987.586305,0,0,1,0,7.87E-09,31757553.47
15334126.94,4980944.148,15337126.94,4980944.148,15337126.94,4977944.148,15334126.94,4977944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4977944.148,15337126.94,4977944.148,15337126.94,4974944.148,15334126.94,4974944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4974944.148,15337126.94,4974944.148,15337126.94,4971944.148,15334126.94,4971944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4971944.148,15337126.94,4971944.148,15337126.94,4968944.148,15334126.94,4968944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4968944.148,15337126.94,4968944.148,15337126.94,4965944.148,15334126.94,4965944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4965944.148,15337126.94,4965944.148,15337126.94,4962944.148,15334126.94,4962944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4962944.148,15337126.94,4962944.148,15337126.94,4959944.148,15334126.94,4959944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4959944.148,15337126.94,4959944.148,15337126.94,4956944.148,15334126.94,4956944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4956944.148,15337126.94,4956944.148,15337126.94,4953944.148,15334126.94,4953944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4953944.148,15337126.94,4953944.148,15337126.94,4950944.148,15334126.94,4950944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4950944.148,15337126.94,4950944.148,15337126.94,4947944.148,15334126.94,4947944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4947944.148,15337126.94,4947944.148,15337126.94,4944944.148,15334126.94,4944944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15334126.94,4944944.148,15337126.94,4944944.148,15337126.94,4941944.148,15334126.94,4941944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5088944.148,15340126.94,5088944.148,15340126.94,5085944.148,15337126.94,5085944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5085944.148,15340126.94,5085944.148,15340126.94,5082944.148,15337126.94,5082944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5082944.148,15340126.94,5082944.148,15340126.94,5079944.148,15337126.94,5079944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5079944.148,15340126.94,5079944.148,15340126.94,5076944.148,15337126.94,5076944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5076944.148,15340126.94,5076944.148,15340126.94,5073944.148,15337126.94,5073944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5073944.148,15340126.94,5073944.148,15340126.94,5070944.148,15337126.94,5070944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5070944.148,15340126.94,5070944.148,15340126.94,5067944.148,15337126.94,5067944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5067944.148,15340126.94,5067944.148,15340126.94,5064944.148,15337126.94,5064944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5064944.148,15340126.94,5064944.148,15340126.94,5061944.148,15337126.94,5061944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5061944.148,15340126.94,5061944.148,15340126.94,5058944.148,15337126.94,5058944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5058944.148,15340126.94,5058944.148,15340126.94,5055944.148,15337126.94,5055944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5055944.148,15340126.94,5055944.148,15340126.94,5052944.148,15337126.94,5052944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5052944.148,15340126.94,5052944.148,15340126.94,5049944.148,15337126.94,5049944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5049944.148,15340126.94,5049944.148,15340126.94,5046944.148,15337126.94,5046944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5046944.148,15340126.94,5046944.148,15340126.94,5043944.148,15337126.94,5043944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5043944.148,15340126.94,5043944.148,15340126.94,5040944.148,15337126.94,5040944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
