vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(NB/A)Number of branch faults per unit area ,6(NL/A)The number of fault lines per unit area 
15330749.27,5124824.717,15333749.27,5124824.717,15333749.27,5121824.717,15330749.27,5121824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5121824.717,15333749.27,5121824.717,15333749.27,5118824.717,15330749.27,5118824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5118824.717,15333749.27,5118824.717,15333749.27,5115824.717,15330749.27,5115824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5115824.717,15333749.27,5115824.717,15333749.27,5112824.717,15330749.27,5112824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5112824.717,15333749.27,5112824.717,15333749.27,5109824.717,15330749.27,5109824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5109824.717,15333749.27,5109824.717,15333749.27,5106824.717,15330749.27,5106824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5106824.717,15333749.27,5106824.717,15333749.27,5103824.717,15330749.27,5103824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5103824.717,15333749.27,5103824.717,15333749.27,5100824.717,15330749.27,5100824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5100824.717,15333749.27,5100824.717,15333749.27,5097824.717,15330749.27,5097824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5097824.717,15333749.27,5097824.717,15333749.27,5094824.717,15330749.27,5094824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5094824.717,15333749.27,5094824.717,15333749.27,5091824.717,15330749.27,5091824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5091824.717,15333749.27,5091824.717,15333749.27,5088824.717,15330749.27,5088824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5088824.717,15333749.27,5088824.717,15333749.27,5085824.717,15330749.27,5085824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5085824.717,15333749.27,5085824.717,15333749.27,5082824.717,15330749.27,5082824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5082824.717,15333749.27,5082824.717,15333749.27,5079824.717,15330749.27,5079824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5079824.717,15333749.27,5079824.717,15333749.27,5076824.717,15330749.27,5076824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5076824.717,15333749.27,5076824.717,15333749.27,5073824.717,15330749.27,5073824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5073824.717,15333749.27,5073824.717,15333749.27,5070824.717,15330749.27,5070824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5070824.717,15333749.27,5070824.717,15333749.27,5067824.717,15330749.27,5067824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5067824.717,15333749.27,5067824.717,15333749.27,5064824.717,15330749.27,5064824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5064824.717,15333749.27,5064824.717,15333749.27,5061824.717,15330749.27,5061824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5061824.717,15333749.27,5061824.717,15333749.27,5058824.717,15330749.27,5058824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5058824.717,15333749.27,5058824.717,15333749.27,5055824.717,15330749.27,5055824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5055824.717,15333749.27,5055824.717,15333749.27,5052824.717,15330749.27,5052824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5052824.717,15333749.27,5052824.717,15333749.27,5049824.717,15330749.27,5049824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5049824.717,15333749.27,5049824.717,15333749.27,5046824.717,15330749.27,5046824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5046824.717,15333749.27,5046824.717,15333749.27,5043824.717,15330749.27,5043824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5043824.717,15333749.27,5043824.717,15333749.27,5040824.717,15330749.27,5040824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5040824.717,15333749.27,5040824.717,15333749.27,5037824.717,15330749.27,5037824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5037824.717,15333749.27,5037824.717,15333749.27,5034824.717,15330749.27,5034824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5034824.717,15333749.27,5034824.717,15333749.27,5031824.717,15330749.27,5031824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5031824.717,15333749.27,5031824.717,15333749.27,5028824.717,15330749.27,5028824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5028824.717,15333749.27,5028824.717,15333749.27,5025824.717,15330749.27,5025824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15330749.27,5025824.717,15333749.27,5025824.717,15333749.27,5022824.717,15330749.27,5022824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
